<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE> 
BTC-USD,1,20180706,024000,6536.4800000
BTC-USD,1,20180706,024100,6536.4900000
BTC-USD,1,20180706,024200,6536.4900000
BTC-USD,1,20180706,024300,6536.4800000
BTC-USD,1,20180706,024400,6536.4900000
BTC-USD,1,20180706,024500,6544.9300000
BTC-USD,1,20180706,024600,6540.0000000
BTC-USD,1,20180706,024700,6540.0000000
BTC-USD,1,20180706,024800,6540.0100000
BTC-USD,1,20180706,024900,6541.9200000
BTC-USD,1,20180706,025000,6541.9100000
BTC-USD,1,20180706,025100,6541.9100000
BTC-USD,1,20180706,025200,6540.0000000
BTC-USD,1,20180706,025300,6540.0000000
BTC-USD,1,20180706,025400,6532.9500000
BTC-USD,1,20180706,025500,6532.9600000
BTC-USD,1,20180706,025600,6532.9600000
BTC-USD,1,20180706,025700,6532.9500000
BTC-USD,1,20180706,025800,6532.9600000
BTC-USD,1,20180706,025900,6532.9600000
BTC-USD,1,20180706,030000,6532.9500000
BTC-USD,1,20180706,030100,6532.9500000
BTC-USD,1,20180706,030200,6532.9600000
BTC-USD,1,20180706,030300,6532.9600000
BTC-USD,1,20180706,030400,6530.6200000
BTC-USD,1,20180706,030500,6528.0100000
BTC-USD,1,20180706,030600,6532.9600000
BTC-USD,1,20180706,030700,6535.8000000
BTC-USD,1,20180706,030800,6540.9900000
BTC-USD,1,20180706,030900,6544.9400000
BTC-USD,1,20180706,031000,6533.3900000
BTC-USD,1,20180706,031100,6533.3800000
BTC-USD,1,20180706,031200,6533.9600000
BTC-USD,1,20180706,031300,6535.8500000
BTC-USD,1,20180706,031400,6535.8400000
BTC-USD,1,20180706,031500,6535.8500000
BTC-USD,1,20180706,031600,6533.3800000
BTC-USD,1,20180706,031700,6533.3900000
BTC-USD,1,20180706,031800,6533.3800000
BTC-USD,1,20180706,031900,6533.3900000
BTC-USD,1,20180706,032000,6533.3800000
BTC-USD,1,20180706,032100,6533.3900000
BTC-USD,1,20180706,032200,6533.3800000
BTC-USD,1,20180706,032300,6533.3900000
BTC-USD,1,20180706,032400,6533.3800000
BTC-USD,1,20180706,032500,6533.3900000
BTC-USD,1,20180706,032600,6533.3800000
BTC-USD,1,20180706,032700,6533.3800000
BTC-USD,1,20180706,032800,6538.4500000
BTC-USD,1,20180706,032900,6538.4400000
BTC-USD,1,20180706,033000,6538.4500000
BTC-USD,1,20180706,033100,6533.4600000
BTC-USD,1,20180706,033200,6533.4600000
BTC-USD,1,20180706,033300,6533.4500000
BTC-USD,1,20180706,033400,6533.4500000
BTC-USD,1,20180706,033500,6533.4600000
BTC-USD,1,20180706,033600,6533.4600000
BTC-USD,1,20180706,033700,6533.4500000
BTC-USD,1,20180706,033800,6530.0000000
BTC-USD,1,20180706,033900,6530.0100000
BTC-USD,1,20180706,034000,6529.4300000
BTC-USD,1,20180706,034100,6529.5000000
BTC-USD,1,20180706,034200,6529.5100000
BTC-USD,1,20180706,034300,6528.8600000
BTC-USD,1,20180706,034400,6528.8600000
BTC-USD,1,20180706,034500,6529.9900000
BTC-USD,1,20180706,034600,6530.1000000
BTC-USD,1,20180706,034700,6530.1000000
BTC-USD,1,20180706,034800,6530.0900000
BTC-USD,1,20180706,034900,6530.1000000
BTC-USD,1,20180706,035000,6530.1000000
BTC-USD,1,20180706,035100,6530.1000000
BTC-USD,1,20180706,035200,6530.1000000
BTC-USD,1,20180706,035300,6530.1000000
BTC-USD,1,20180706,035400,6533.4600000
