<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
D,1,20150217,175400,17973.2400000
D,1,20150217,175500,17980.1000000
D,1,20150217,175600,17974.8800000
D,1,20150217,175700,17978.9900000
D,1,20150217,175800,17983.6500000
D,1,20150217,175900,17981.9500000
D,1,20150217,180000,17986.9900000
D,1,20150217,180100,17993.3800000
D,1,20150217,180200,17987.1500000
D,1,20150217,180300,17986.1500000
D,1,20150217,180400,17983.5800000
D,1,20150217,180500,17988.3000000
D,1,20150217,180600,18003.6200000
D,1,20150217,180700,17991.9300000
D,1,20150217,180800,17996.7000000
D,1,20150217,180900,17995.1400000
D,1,20150217,181000,17993.0000000
D,1,20150217,181100,17988.9500000
D,1,20150217,181200,17987.1300000
D,1,20150217,181300,17991.9300000
D,1,20150217,181400,17994.5600000
D,1,20150217,181500,17993.7300000
D,1,20150217,181600,17991.4600000
D,1,20150217,181700,17983.9000000
D,1,20150217,181800,17984.0300000
D,1,20150217,181900,17984.7800000
D,1,20150217,182000,17977.6400000
D,1,20150217,182100,17980.9800000
D,1,20150217,182200,17976.5600000
D,1,20150217,182300,17971.4800000
D,1,20150217,182400,17972.6300000
D,1,20150217,182500,17977.3200000
D,1,20150217,182600,17975.5100000
D,1,20150217,182700,17974.8800000
D,1,20150217,182800,17978.7400000
D,1,20150217,182900,17983.0200000
D,1,20150217,183000,17981.2200000
D,1,20150217,183100,17983.7500000
D,1,20150217,183200,17984.3500000
D,1,20150217,183300,17986.3500000
D,1,20150217,183400,17985.0000000
D,1,20150217,183500,17984.9600000
D,1,20150217,183600,17989.8500000
D,1,20150217,183700,17985.7700000
D,1,20150217,183800,17984.6800000
D,1,20150217,183900,17984.3300000
D,1,20150217,184000,17981.3400000
D,1,20150217,184100,17982.5200000
D,1,20150217,184200,17981.0400000
D,1,20150217,184300,17985.0600000
D,1,20150217,184400,17985.0900000
D,1,20150217,184500,17986.0900000
D,1,20150217,184600,17985.9300000
D,1,20150217,184700,17980.0500000
D,1,20150217,184800,17982.4300000
D,1,20150217,184900,17983.7400000
D,1,20150217,185000,17985.9500000
D,1,20150217,185100,17989.2200000
D,1,20150217,185200,17981.0500000
D,1,20150217,185300,17974.5300000
D,1,20150217,185400,17979.8300000
D,1,20150217,185500,17977.9800000
D,1,20150217,185600,17971.3500000
D,1,20150217,185700,17972.7900000
D,1,20150217,185800,17974.7900000
D,1,20150217,185900,17973.1200000
